ID	lineage	domain	phylum	class	order	family	genus	species
arsI|KDE12916.1	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Nocardiaceae;g__Rhodococcus;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Nocardiaceae	g__Rhodococcus	s__
arsI|AFR09003.1	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Nocardiopsaceae;g__Nocardiopsis;s__Nocardiopsisalba	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Streptosporangiales	f__Nocardiopsaceae	g__Nocardiopsis	s__Nocardiopsisalba
arsI|ALG59677.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Citromicrobium;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Citromicrobium	s__
arsI|AGM29120.1	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacteroides;s__Mycobacteroidesabscessus	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacteroides	s__Mycobacteroidesabscessus
arsI|BAC12282.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Oceanobacillus;s__Oceanobacillusiheyensis	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Oceanobacillus	s__Oceanobacillusiheyensis
arsI|ADU51562.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__ClostridialesFamilyXVII.IncertaeSedis;g__Thermaerobacter;s__Thermaerobactermarianensis	d__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__ClostridialesFamilyXVII.IncertaeSedis	g__Thermaerobacter	s__Thermaerobactermarianensis
arsI|AAZ60514.1	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriaviduspinatubonensis	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Cupriavidus	s__Cupriaviduspinatubonensis
arsI|AIA31028.1	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Leptospirillum;s__Leptospirillumferriphilum	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Leptospirillum	s__Leptospirillumferriphilum
arsI|ABW00656.1	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Salinispora;s__Salinisporaarenicola	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micromonosporales	f__Micromonosporaceae	g__Salinispora	s__Salinisporaarenicola
arsI|AFR47398.1	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Gordoniaceae;g__Gordonia;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Gordoniaceae	g__Gordonia	s__
