ID	lineage	domain	phylum	class	order	family	genus	species
H1VFU3	d__Eukaryota;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum;s__Colletotrichumhigginsianum	d__Eukaryota	p__Ascomycota	c__Sordariomycetes	o__Glomerellales	f__Glomerellaceae	g__Colletotrichum	s__Colletotrichumhigginsianum
A0A3D1JIE6	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Anaerolinea;s__	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__Anaerolinea	s__
A0A2R5GTJ4	d__Eukaryota;p__;c__Bigyra;o__Thraustochytrida;f__Thraustochytriaceae;g__Hondaea;s__	d__Eukaryota	p__	c__Bigyra	o__Thraustochytrida	f__Thraustochytriaceae	g__Hondaea	s__
A0A061R5U8	d__Eukaryota;p__Chlorophyta;c__Chlorodendrophyceae;o__Chlorodendrales;f__Chlorodendraceae;g__Tetraselmis;s__	d__Eukaryota	p__Chlorophyta	c__Chlorodendrophyceae	o__Chlorodendrales	f__Chlorodendraceae	g__Tetraselmis	s__
A0A2N9NSI5	d__Bacteria;p__Verrucomicrobiota;c__;o__;f__;g__;s__	d__Bacteria	p__Verrucomicrobiota	c__	o__	f__	g__	s__
A0A523BX32	d__Bacteria;p__Chloroflexota;c__;o__;f__;g__;s__	d__Bacteria	p__Chloroflexota	c__	o__	f__	g__	s__
A0A3Q7RUS9	d__Eukaryota;p__Chordata;c__Mammalia;o__Carnivora;f__Canidae;g__Vulpes;s__	d__Eukaryota	p__Chordata	c__Mammalia	o__Carnivora	f__Canidae	g__Vulpes	s__
A0A7V4J604	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__;f__;g__;s__	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__	f__	g__	s__
A0A1J5A035	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__;f__;g__;s__	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__	f__	g__	s__
A0A7R9YWY9	d__Eukaryota;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;f__Chlamydomonadaceae;g__Chlamydomonas;s__	d__Eukaryota	p__Chlorophyta	c__Chlorophyceae	o__Chlamydomonadales	f__Chlamydomonadaceae	g__Chlamydomonas	s__
A0A7C2S2D2	d__Bacteria;p__Thermodesulfobacteriota;c__CandidatusDadabacteria;o__;f__;g__;s__	d__Bacteria	p__Thermodesulfobacteriota	c__CandidatusDadabacteria	o__	f__	g__	s__
A0A1B7N1N6	d__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Rhizopogonaceae;g__Rhizopogon;s__Rhizopogonvinicolor	d__Eukaryota	p__Basidiomycota	c__Agaricomycetes	o__Boletales	f__Rhizopogonaceae	g__Rhizopogon	s__Rhizopogonvinicolor
A0A2U2S8V7	d__Bacteria;p__Chloroflexota;c__Ardenticatenia;o__;f__;g__;s__	d__Bacteria	p__Chloroflexota	c__Ardenticatenia	o__	f__	g__	s__
A0A3Q2R3C5	d__Eukaryota;p__Chordata;c__Actinopteri;o__Cyprinodontiformes;f__Fundulidae;g__Fundulus;s__	d__Eukaryota	p__Chordata	c__Actinopteri	o__Cyprinodontiformes	f__Fundulidae	g__Fundulus	s__
A0A5E4C4Y1	d__Eukaryota;p__Chordata;c__Mammalia;o__Rodentia;f__Sciuridae;g__Marmota;s__	d__Eukaryota	p__Chordata	c__Mammalia	o__Rodentia	f__Sciuridae	g__Marmota	s__
F7EFQ2	d__Eukaryota;p__Chordata;c__Amphibia;o__Anura;f__Pipidae;g__Xenopus;s__	d__Eukaryota	p__Chordata	c__Amphibia	o__Anura	f__Pipidae	g__Xenopus	s__
A0A0K8PAQ2	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Flexilinea;s__	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__Flexilinea	s__
A0A7C6Z7U4	d__Bacteria;p__Bacillota;c__;o__;f__;g__;s__	d__Bacteria	p__Bacillota	c__	o__	f__	g__	s__
A0A0S7BH16	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Longilinea;s__	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__Longilinea	s__
A0A2K5PMS9	d__Eukaryota;p__Chordata;c__Mammalia;o__Primates;f__Cebidae;g__Cebus;s__	d__Eukaryota	p__Chordata	c__Mammalia	o__Primates	f__Cebidae	g__Cebus	s__
A0A369IA51	d__Bacteria;p__Bacteroidota;c__Cytophagia;o__Cytophagales;f__Spirosomataceae;g__Runella;s__	d__Bacteria	p__Bacteroidota	c__Cytophagia	o__Cytophagales	f__Spirosomataceae	g__Runella	s__
A0A5C5VXB6	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Thalassoglobus;s__	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Planctomycetales	f__Planctomycetaceae	g__Thalassoglobus	s__
A0A835ZJW1	d__Eukaryota;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Ovis;s__	d__Eukaryota	p__Chordata	c__Mammalia	o__Artiodactyla	f__Bovidae	g__Ovis	s__
A0A7S3A553	d__Eukaryota;p__Rhodophyta;c__Stylonematophyceae;o__Stylonematales;f__Stylonemataceae;g__Rhodosorus;s__	d__Eukaryota	p__Rhodophyta	c__Stylonematophyceae	o__Stylonematales	f__Stylonemataceae	g__Rhodosorus	s__
A0A5M3MMM6	d__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Coniophoraceae;g__Coniophora;s__Coniophoraputeana	d__Eukaryota	p__Basidiomycota	c__Agaricomycetes	o__Boletales	f__Coniophoraceae	g__Coniophora	s__Coniophoraputeana
A0A3C0TLC4	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__;s__	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__	s__
A0A0Q3T9Z0	d__Eukaryota;p__Chordata;c__Aves;o__Psittaciformes;f__Psittacidae;g__Amazona;s__	d__Eukaryota	p__Chordata	c__Aves	o__Psittaciformes	f__Psittacidae	g__Amazona	s__
A0A3N5G8D1	d__Bacteria;p__Chloroflexota;c__;o__;f__;g__;s__	d__Bacteria	p__Chloroflexota	c__	o__	f__	g__	s__
A0A7C4A5B9	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__;f__;g__;s__	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__	f__	g__	s__
A0A2E0UYD0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__;s__	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__	s__
A0A5M9ME45	d__Eukaryota;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__	d__Eukaryota	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	s__
A0A3A4UAE0	d__Bacteria;p__Bacillota;c__;o__;f__;g__;s__	d__Bacteria	p__Bacillota	c__	o__	f__	g__	s__
A0A1F8TDV9	d__Bacteria;p__Chloroflexota;c__;o__;f__;g__;s__	d__Bacteria	p__Chloroflexota	c__	o__	f__	g__	s__
